junction_id,movement_index,signal_state,90,end_time
69227168,69387071_69227168_69515842,g,1163070,1163115
69227168,69387071_69227168_69515842,g,1163164,1163207
69227168,69387071_69227168_69515842,g,1163259,1163303
69227168,69387071_69227168_69515842,g,1163355,1163397
69227168,69387071_69227168_69515842,g,1163451,1163494
69227168,69387071_69227168_69515842,g,1163545,1163588
69227168,69387071_69227168_69515842,g,1163641,1163694
69227168,69387071_69227168_69515842,g,1163735,1163778
69227168,69515842_69227168_69387071,g,1163070,1163113
69227168,69515842_69227168_69387071,g,1163164,1163209
69227168,69515842_69227168_69387071,g,1163450,1163492
69227168,69515842_69227168_69387071,g,1163544,1163591
69227168,69515842_69227168_69387071,g,1163640,1163696
69227168,69515842_69227168_69387071,g,1163735,1163812
69515842,69227168_69515842_69488055,g,1163168,1163195
69515842,69227168_69515842_69488055,g,1163250,1163290
69515842,69227168_69515842_69488055,g,1163347,1163390
69515842,69227168_69515842_69488055,g,1163450,1163489
69515842,69227168_69515842_69488055,g,1163550,1163591
69515842,69227168_69515842_69488055,g,1163646,1163693
69515842,69227168_69515842_69488055,g,1163745,1163788
69515842,69488055_69515842_69227168,g,1163165,1163196
69515842,69488055_69515842_69227168,g,1163250,1163310
69515842,69488055_69515842_69227168,g,1163350,1163411
69515842,69488055_69515842_69227168,g,1163450,1163509
69515842,69488055_69515842_69227168,g,1163547,1163607
69515842,69488055_69515842_69227168,g,1163646,1163713
69515842,69488055_69515842_69227168,g,1163745,1163808