city_id,region_id,link_id,link_name,upstream_junction_id,downstream_junction_id,length,from_direction,geometry,segment_list,arterial_id
,peachtree,-101987_69227168,,-101987,69227168,120.77972527628567,W,-84.3851678448943 33.78317941950459;-84.38470497875338 33.78317853854459;-84.38467307875328 33.78317843854459;-84.38399067874117 33.78316683854459;-84.38396707874077 33.78316643854459;-84.38386717871116 33.7831380385446,92462250,
,peachtree,-102004_69227168,,-102004,69227168,95.77315668022449,E,-84.38282665618651 33.78309973929453;-84.38310890190674 33.78309957835453;-84.3832072019069 33.78309947835452;-84.38338150187646 33.78312027835453;-84.38357770178119 33.78318537835452;-84.38370990169909 33.783241478354526;-84.38381650163294 33.78328667835452,1986595691,
,peachtree,69227168_-101987,,69227168,-101987,120.77972527628567,E,-84.38384595085232 33.783295515871146;-84.38394585085213 33.783323915871144;-84.38396945085212 33.78332431587115;-84.38465185085204 33.78333591587114;-84.38468375085203 33.78333601587114;-84.38514661699202 33.783336896831145,92462251,
,peachtree,69227168_-102004,,69227168,-102004,95.77315668022449,W,-84.38384605531607 33.783133683935745;-84.38373945531617 33.78308848393575;-84.38360725531629 33.78303238393575;-84.38341105531644 33.782967283935754;-84.38323675531649 33.782946483935746;-84.38313845531647 33.78294658393575;-84.38285620959648 33.782946744875744,1986595690,
,peachtree,69227168_69515842,,69227168,69515842,167.80985166710107,N,-84.3839111009785 33.783219729463426;-84.38395980061598 33.78310692946342;-84.38396080057903 33.78309542946342;-84.38400599890052 33.782573129463415;-84.38402599808751 33.782320129463415;-84.38406209660863 33.781859929463415;-84.38407269616292 33.78172122946342,6316532940,
,peachtree,69227168_69387071,,69227168,69387071,143.8637648023065,S,-84.38378815899061 33.783177641418675;-84.38375015873852 33.78326564141867;-84.38373835866031 33.783292941418665;-84.38360215803066 33.78351274141866;-84.38318375667363 33.78398644141866;-84.38306335611527 33.78418134141866;-84.38304598740038 33.78423488422706;-84.3830212871681 33.784309684227054,9436008871,
,peachtree,69249210_69421277,,69249210,69421277,126.0466000952974,S,-84.38294769937164 33.78545907497527;-84.38294919916534 33.785523274975276;-84.38298299778344 33.78595327497526;-84.38300036028609 33.786061369818725;-84.38305397603965 33.78638618705872;-84.383067458989 33.786467869818715;-84.38308775859555 33.78659116981873,-1017931 -1017891,
,peachtree,69249210_69387071,,69249210,69387071,125.50692714425452,N,-84.38307783617579 33.78545457830111;-84.38307623595198 33.78538507830112;-84.38307633557872 33.785269178301114;-84.38307783516137 33.78513957830111;-84.38308223396757 33.784756973340095;-84.3831031891411 33.78448136979138;-84.38311708901466 33.784440569791386;-84.38314678874346 33.78435306979138,-1018360,
,peachtree,69249210_69249214,,69249210,69249214,77.56993408046498,W,-84.38301474038225 33.78537292362216;-84.38288544038194 33.78536972362216;-84.38228354038036 33.78535392362216;-84.38217604038006 33.78535112362217,92478060,
,peachtree,69249214_69249210,,69249214,69249210,77.56993408046498,E,-84.382172061193 33.78551288023355;-84.38227956119273 33.78551568023355;-84.38288146119122 33.78553148023354;-84.3830107611909 33.785534680233546,92478061,
,peachtree,69387063_69387071,,69387063,69387071,118.77771601888212,W,-84.38436399895637 33.78438502613978;-84.38428939893603 33.784359626139775;-84.38423139892018 33.78433982613977;-84.38404319889463 33.784307926139775;-84.38395589888623 33.78429742613977;-84.38376419886788 33.784274526139775;-84.3832136988698 33.784276926139775;-84.38310029885042 33.78425272613977,92589250,
,peachtree,69387071_69227168,,69387071,69227168,143.8637648023065,N,-84.38314692971072 33.784352439297834;-84.38317162947835 33.78427763929784;-84.3831841293603 33.78423963929783;-84.38330300570551 33.78405073393727;-84.38372140426974 33.78357703393728;-84.38385760360353 33.783357233937274;-84.3838694035208 33.78332993393728;-84.38390740325407 33.78324193393729,-1018850,
,peachtree,69387071_69387063,,69387071,69387063,118.77771601888212,E,-84.3830594081523 33.7844059766986;-84.38317280812274 33.784430176698606;-84.38372330812568 33.78442777669861;-84.38391500809773 33.784450676698604;-84.3840023080849 33.7844611766986;-84.38419050804596 33.7844930766986;-84.38424850802178 33.7845128766986;-84.38432310799078 33.784538276698605,92589251,
,peachtree,69387071_69249210,,69387071,69249210,125.50692714425452,S,-84.38301910382293 33.78432580908813;-84.38298940354176 33.784413309088144;-84.38297550341063 33.784454109088145;-84.38295210245685 33.78475090908813;-84.38294756480151 33.78513802658345;-84.38294607332753 33.78526994791353;-84.38294597295435 33.78538584791353;-84.38294757273056 33.785455347913526,3545875221 -1018811,
,peachtree,69387071_4165941945,,69387071,4165941945,70.31320491909983,W,-84.38308375367649 33.784250185060465;-84.38294975367697 33.78422158506046;-84.3829147536771 33.784214085060476;-84.3828511536771 33.78421438506046;-84.38248705367707 33.78421598506046;-84.38232865367705 33.78421668506047,6115824850,
,peachtree,69421277_69249210,,69421277,69249210,126.0466000952974,N,-84.38321683849556 33.7865692038824;-84.38319653810214 33.78644590388239;-84.38318305463149 33.7863642211224;-84.38312943680506 33.7860394038824;-84.38311253647835 33.785937003882395;-84.38307932711616 33.78551642896335;-84.38307782690941 33.785452228963344,-1017890,
,peachtree,69421277_2939367168,,69421277,2939367168,99.03698842360298,E,-84.3831523 33.7865802;-84.3832812 33.786625;-84.3833095 33.7866348;-84.3835064 33.7866456;-84.384209 33.7866774,2904058730,
,peachtree,69421277_5674179652,,69421277,5674179652,82.59409922651955,W,-84.38315289358268 33.78649928727598;-84.38302789358151 33.78646008727597;-84.38298859358126 33.78645118727597;-84.38260079358051 33.786425587275964;-84.38227069358042 33.78642308727597,2904058740,
,peachtree,69421277_2390850312,,69421277,2390850312,120.53199573962738,S,-84.38308967783475 33.786602491090306;-84.38313247745019 33.7867266910903;-84.38318957693747 33.78689229109029;-84.38327169595892 33.787134440374615;-84.38344469437659 33.787644840374625,6292781741,
,peachtree,69488055_69515842,,69488055,69515842,103.07931874980345,S,-84.38402707064893 33.78078574576193;-84.38401887036065 33.780875545761944;-84.38395496810224 33.781579045761944;-84.38394276768233 33.781709845761945,3545875211,
,peachtree,69515842_69614530,,69515842,69614530,126.44659148592541,E,-84.38403649344035 33.7817886785196;-84.38416279346058 33.781802878519585;-84.38443709345447 33.78179857851958;-84.38459219341972 33.78177417851958;-84.38475909335308 33.78172737851959;-84.38493679324944 33.781654578519586;-84.38511812734977 33.78158711748741;-84.38522512733938 33.78156411748743;-84.38532712733397 33.78155211748742,2340132660,
,peachtree,69515842_69488055,,69515842,69488055,103.07931874980345,N,-84.38407264038332 33.78172222368032;-84.38408483996336 33.78159142368032;-84.38414873770466 33.78088792368032;-84.38415693741636 33.78079812368031,3545875210,
,peachtree,69515842_69227168,,69515842,69227168,167.80985166710107,S,-84.38394640002944 33.78168877048615;-84.38393579960909 33.781827470486135;-84.38389969821431 33.782287670486134;-84.38387969744748 33.782540670486135;-84.38383449586446 33.78306297048614;-84.38383349582959 33.783074470486135;-84.3837847954877 33.78318727048614,6316532941,
,peachtree,69515842_4165941984,,69515842,4165941984,130.60531525592836,W,-84.38400547443503 33.78163523117614;-84.38391617443598 33.78162673117614;-84.38357007443489 33.78163653117615;-84.3830268744332 33.78165203117614;-84.38259407443184 33.781664331176145,6316532951,
,peachtree,69614530_69515842,,69614530,69515842,126.44659148592541,W,-84.38529132733765 33.781398181349765;-84.38518932732184 33.78141018134977;-84.3850823272915 33.78143318134976;-84.38488132719259 33.781508181349764;-84.3847390301628 33.78157461420214;-84.38457213018302 33.781621414202135;-84.38441703019356 33.78164581420214;-84.3841427301954 33.78165011420214;-84.38401643018926 33.78163591420215,5331465911,
,peachtree,2390850312_69421277,,2390850312,69421277,120.53199573962738,N,-84.38357010530943 33.787600958312;-84.38339710372713 33.78709055831199;-84.38331490297534 33.786848058311996;-84.38325772528293 33.78668212083035;-84.3832149248984 33.78655792083036,3545875230,
,peachtree,2939367165_69421277,,2939367165,69421277,96.64018980600152,W,-84.3841904 33.7866064;-84.3834845 33.7865608;-84.3832875 33.7865501;-84.3832646 33.7865552;-84.3831523 33.7865802,2904058720,
,peachtree,4165941945_69387071,,4165941945,69387071,70.31320491909983,E,-84.38231279908948 33.78437597319924;-84.38247119909005 33.78437527319924;-84.38283529909131 33.784373673199234;-84.38289889909156 33.78437337319924;-84.38293389908554 33.78438087319923;-84.38306789906264 33.78440947319924,6115824851,
,peachtree,4165941984_69515842,,4165941984,69515842,130.60531525592836,E,-84.38258889004497 33.78182559064402;-84.38302169004947 33.781813290644024;-84.38356489005514 33.78179779064402;-84.38391099005874 33.78178799064403;-84.38400029005561 33.78179649064402,6316532950,
,peachtree,5674179652_69421277,,5674179652,69421277,82.59409922651955,E,-84.38224710273761 33.78657970607263;-84.38257720273477 33.78658220607262;-84.38296500270567 33.78660780607263;-84.38300430269554 33.78661670607263;-84.38312930265099 33.78665590607263,2904058741,
